Date,URL,Title,Price,Rank 1,Rank 2,Quantity of review,Review,Review Rating,ASIN
ToDayDate,https://www.amazon.com/dp/B084259KTP,"HP Pavilion 15-cs3065cl Home and Business Laptop (Intel i7-1065G7 4-Core, 32GB RAM, 256GB m.2 SATA SSD + 1TB HDD, Intel Iris Plus Graphics, 15.6"" Touch Full HD (1920x1080) Win 10 Home) with USB3.0 Hub",,,,0,,,B084259KTP
ToDayDate,https://www.amazon.com/dp/B08425K3ND,"HP Pavilion 15-cs3065cl Home and Business Laptop (Intel i7-1065G7 4-Core, 16GB RAM, 16GB Intel Optane + 1TB HDD, Intel Iris Plus Graphics, 15.6"" Touch Full HD (1920x1080) Win 10 Home) with USB3.0 Hub",$870.00,"#155,704","#29,512",0,,,B08425K3ND
ToDayDate,https://www.amazon.com/dp/B08425KD9R,"HP Pavilion 15-cs3065cl Home and Business Laptop (Intel i7-1065G7 4-Core, 32GB RAM, 2TB PCIe SSD, Intel Iris Plus Graphics, 15.6"" Touch Full HD (1920x1080), WiFi, Win 10 Pro) with USB3.0 Hub",,"#292,570","#52,087",1,The fan has been running loudly and constantly since the laptop was turned on. I have only been running Google Chrome and Adobe Acrobat (No gaming or high memory use type applications). When I took the computer to work in another room the battery drained within one hour (again not running an programs but work emails and typical work apps). This computer is supposed to have a ton of RAM and Memory and cost a lot of money so it is disappointing. My last HP lasted me years and was quiet and the battery lasted longer after multiple years of use using the same programs.,2.0 out of 5 stars,B08425KD9R
ToDayDate,https://www.amazon.com/dp/B08425BPD3,"HP Pavilion 15-cs3065cl Home and Business Laptop (Intel i7-1065G7 4-Core, 16GB RAM, 256GB SATA SSD, Intel Iris Plus Graphics, 15.6"" Touch Full HD (1920x1080), WiFi, Win 10 Home) with USB3.0 Hub",,,,0,,,B08425BPD3
ToDayDate,https://www.amazon.com/dp/B08425MRWR,"HP Pavilion 15-cs3065cl Home and Business Laptop (Intel i7-1065G7 4-Core, 16GB RAM, 1TB PCIe SSD + 1TB HDD, Intel Iris Plus Graphics, 15.6"" Touch Full HD (1920x1080), Win 10 Home) with USB3.0 Hub",,,,0,,,B08425MRWR
ToDayDate,https://www.amazon.com/dp/B084259RG9,"HP Pavilion 15-cs3065cl Home and Business Laptop (Intel i7-1065G7 4-Core, 32GB RAM, 128GB m.2 SATA SSD + 1TB HDD, Intel Iris Plus Graphics, 15.6"" Touch Full HD (1920x1080) Win 10 Home) with USB3.0 Hub",,,,0,,,B084259RG9
ToDayDate,https://www.amazon.com/dp/B084259JWX,"HP Pavilion 15-cs3065cl Home and Business Laptop (Intel i7-1065G7 4-Core, 16GB RAM, 256GB PCIe SSD + 1TB HDD, Intel Iris Plus Graphics, 15.6"" Touch Full HD (1920x1080), Win 10 Home) with USB3.0 Hub",,"#576,187","#83,300",0,,,B084259JWX
ToDayDate,https://www.amazon.com/dp/B08BXLJPTB,"Intel NUC10i3FNH Home and Business Desktop (Intel i3-10110U 2-Core, 4GB RAM, 256GB PCIe SSD + 500GB HDD (2.5), Intel UHD Graphics, WiFi, Bluetooth, 3xUSB 3.1, 1xHDMI, SD Card, Win 10 Pro) with Hub",$799.00,,,0,,,B08BXLJPTB
ToDayDate,https://www.amazon.com/dp/B084259J2P,"HP Pavilion 15-cs3065cl Home and Business Laptop (Intel i7-1065G7 4-Core, 16GB RAM, 128GB PCIe SSD + 1TB HDD, Intel Iris Plus Graphics, 15.6"" Touch Full HD (1920x1080), Win 10 Pro) with USB3.0 Hub",,,,0,,,B084259J2P
ToDayDate,https://www.amazon.com/dp/B08BXLDTPJ,"Intel NUC10i3FNH Home and Business Desktop (Intel i3-10110U 2-Core, 8GB RAM, 128GB m.2 SATA SSD + 500GB HDD (2.5), Intel UHD Graphics, Wifi, Bluetooth, 3xUSB 3.1, 1xHDMI, SD Card, Win 10 Pro) with Hub",$799.00,,,0,,,B08BXLDTPJ
