Date,URL,Title,Price,Rank 1,Rank 2,Quantity of review,Review,Review Rating,ASIN
ToDayDate,https://www.amazon.com/dp/B08425N8JP,"HP Pavilion 15-cs3065cl Home and Business Laptop (Intel i7-1065G7 4-Core, 16GB RAM, 256GB SATA SSD, Intel Iris Plus Graphics, 15.6"" Touch Full HD (1920x1080), WiFi, Win 10 Pro) with USB3.0 Hub",,,,0,,,B08425N8JP
ToDayDate,https://www.amazon.com/dp/B08425MWPD,"HP Pavilion 15-cs3065cl Home and Business Laptop (Intel i7-1065G7 4-Core, 16GB RAM, 1TB SATA SSD, Intel Iris Plus Graphics, 15.6"" Touch Full HD (1920x1080), WiFi, Win 10 Home) with USB3.0 Hub",,,,0,,,B08425MWPD
ToDayDate,https://www.amazon.com/dp/B08425MRWR,"HP Pavilion 15-cs3065cl Home and Business Laptop (Intel i7-1065G7 4-Core, 16GB RAM, 1TB PCIe SSD + 1TB HDD, Intel Iris Plus Graphics, 15.6"" Touch Full HD (1920x1080), Win 10 Home) with USB3.0 Hub",,,,0,,,B08425MRWR
ToDayDate,https://www.amazon.com/dp/B084259RG8,"HP Pavilion 15-cs3065cl Home and Business Laptop (Intel i7-1065G7 4-Core, 16GB RAM, 256GB m.2 SATA SSD + 2TB HDD, Intel Iris Plus Graphics, 15.6"" Touch Full HD (1920x1080) Win 10 Home) with USB3.0 Hub",,"#225,461","#41,921",1,Arrived on time. M2 drive makes this thing scream....,5.0 out of 5 stars,B084259RG8
ToDayDate,https://www.amazon.com/dp/B08425K3ND,"HP Pavilion 15-cs3065cl Home and Business Laptop (Intel i7-1065G7 4-Core, 16GB RAM, 16GB Intel Optane + 1TB HDD, Intel Iris Plus Graphics, 15.6"" Touch Full HD (1920x1080) Win 10 Home) with USB3.0 Hub",$870.00,"#155,737","#29,507",0,,,B08425K3ND
ToDayDate,https://www.amazon.com/dp/B08DMZYJ7G,"ASUS ROG Zephyrus G14 Gaming and Entertainment Laptop (AMD Ryzen 9 4900HS 8-Core, 24GB RAM, 1TB PCIe SSD, NVIDIA RTX 2060 Max-Q, 14.0"" Full HD (1920x1080), WiFi, Win 10 Home) with Harrier GT300","$1,649.00","#16,037","#2,340",5,"Was a fair bit skeptical given that this product came with a non standard amount of RAM, but who can pass up 24gb for the price of the regular device? I was also in dire need of a laptop replacement since my old one died, but alas...,Hands the best purchase I’ve made in the last year. This 8 core processor is amazing! Everything is blazing fast and the extra ram helps a ton!,I bought another one at the store and it's very nice.,It's a performance monster. Works like a charm. Only issue is when you're putting in performance mode, the fans tend to get loud and it can get pretty hot. But that's if you max out the graphics and processor.,Great everyday laptop that can also game. The track pad and display have really been standing out to me (1080p version). Battery life is great, and has differebt battery settings to help it have an extended life. 65w USB-C charging is handy, only need one charger for cellphone, laptop and buds. Definitely happy with this purchase and would recommend it to most. Please note that there is no webcam in this computer, I think that's a pro but others may think is a con.","4.0 out of 5 stars,5.0 out of 5 stars,5.0 out of 5 stars,4.0 out of 5 stars,5.0 out of 5 stars",B08DMZYJ7G
ToDayDate,https://www.amazon.com/dp/B0842546CK,"HP Pavilion 15-cs3065cl Home and Business Laptop (Intel i7-1065G7 4-Core, 16GB RAM, 256GB m.2 SATA SSD + 500GB HDD, Intel Iris Plus Graphics, 15.6"" Touch Full HD (1920x1080) Win 10 Home) w/ USB3.0 Hub",,,,0,,,B0842546CK
ToDayDate,https://www.amazon.com/dp/B08425BW17,"HP Pavilion 15-cs3065cl Home and Business Laptop (Intel i7-1065G7 4-Core, 16GB RAM, 16GB Intel Optane + 1TB HDD, Intel Iris Plus Graphics, 15.6"" Touch Full HD (1920x1080), Win 10 Pro) with USB3.0 Hub",$999.99,"#266,685","#48,378",0,,,B08425BW17
ToDayDate,https://www.amazon.com/dp/B08425FZD6,"HP Pavilion 15-cs3065cl Home and Business Laptop (Intel i7-1065G7 4-Core, 16GB RAM, 1TB m.2 SATA SSD, Intel Iris Plus Graphics, 15.6"" Touch Full HD (1920x1080), WiFi, Win 10 Home) with USB3.0 Hub",,,,0,,,B08425FZD6
ToDayDate,https://www.amazon.com/dp/B08425B799,"HP Pavilion 15-cs3065cl Home and Business Laptop (Intel i7-1065G7 4-Core, 16GB RAM, 16GB Intel Optane + 1TB HDD, Intel Iris Plus Graphics, 15.6"" Touch Full HD (1920x1080) Win 10 Home) with USB3.0 Hub",$870.00,"#155,737","#29,507",0,,,B08425B799
