ASIN,StarRating,Title,ReviewLink,ReviewDate,AuthorName,VerifiedPurchase,ReviewText
B077H11HSN,5,Storage Surprise,https://www.amazon.com/gp/customer-reviews/R19R7AH0I2G77M/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B077H11HSN," November 3, 2018",Amazon Customer,Verified Purchase,"Nice laptop at a great price. I've had it for a week so it's hard to comment on durability but I'm counting on my previous experiences with Dell to carry on. For some reason I ended up with a 1TB SSD instead of the advertised 500GB SSD, probably a total fluke but I'm happy to accept it. I mostly purchased because of the i7, 16GB RAM and SSD because they contribute to a machine's longevity the most. I wanted to try the touchscreen and tablet mode but not sure how practical they are. So far running Virtual Box and Fusion360 without a problem. Looking forward to a long life together."
B077H11HSN,5,I'm Satisfied!,https://www.amazon.com/gp/customer-reviews/R3E8NKPPS250B4/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B077H11HSN," May 7, 2020",Amazon Customer,Verified Purchase,"My old laptop is a Dell Inspiron 15 5000, and it worked well for years. I really loved it, so when it started malfunctioning I knew I had to get another later model if available. This is the most expensive laptop I ever purchased, with my previous one being around $550. If I were to compare the two, this one is noticeably more light weight. It's has a great design. Everything is smooth and thin. The sound quality is about the same honestly. The camera is much better, but do not expect quality like you would on a phone or an actual camera. The screen quality is definitely nice. I love how you can fold it and it looks like a tablet. I already ordered a case, screen protector, and keyboard cover, because I'm that type of person. lol. The touchscreen responds well and with a stylus pen this is pretty much like an oversized tablet! That's all I got from it so far. I literally just got it today after ordering it two days ago, but so far so good!"
B077H11HSN,5,Great laptop at an excellent price!,https://www.amazon.com/gp/customer-reviews/R25XR56CJPJRD/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B077H11HSN," June 25, 2019",Amazon Customer,Verified Purchase,Bought this laptop for DJing purposes and I love it. The SSD boots the computer up very quick and moving from apps to websites to files is seamless. Touch screen works great and screen quality is very good. Love the i7 processor as well. Could not have asked for a better deal!
B077H11HSN,4,Good machine.,https://www.amazon.com/gp/customer-reviews/R3QWP7WHK0P1LI/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B077H11HSN," January 6, 2020",Heart of Texas,Verified Purchase,"Overall good. No problems. My other laptop is a dell xps 10gen 6 core 32g ram. So,my view may be skewed. Use it for my sons middle school / high school use. Screen is a little big to be easy to handle. Battery lasts about 3-4 hours depending on what you do of course."
B077H11HSN,1,Thought it would last longer than 9 Months,https://www.amazon.com/gp/customer-reviews/R3PFRPAWCAYQYC/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B077H11HSN," June 21, 2020",Lilly,Verified Purchase,"Started having problems with the fan - Very Loud and runs hot even after cleaning the fan. Battery runs hot. Also, it freezes up now and then.... I should have stuck with Lenovo; lesson learned."
B077H11HSN,3,Its ok,https://www.amazon.com/gp/customer-reviews/R2PRTT4FN9YK2V/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B077H11HSN," November 2, 2019",D'Shardonnay Weir,Verified Purchase,This laptop is wonderful. My only complaint is that it runs hot quickly which can be annoying and uncomfortable.
B077H11HSN,5,Love this laptop,https://www.amazon.com/gp/customer-reviews/RIQWC5BM74RWN/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B077H11HSN," September 14, 2019",CareBear,Verified Purchase,I use this for my online business. It converts to a tablet and is amazing
B077H11HSN,5,Great quality,https://www.amazon.com/gp/customer-reviews/R1XRBCD4ORW7FD/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B077H11HSN," February 10, 2019",GabyF,Verified Purchase,I use it for work. Great laptop fast international shipping
B07D95XH91,1,"The Heat, and the Fan noise bother too much When in regular use.",https://www.amazon.com/gp/customer-reviews/R8KTVXB6GCRCK/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07D95XH91," December 19, 2018",Cesarino,Verified Purchase,"I just got this computer 3 days ago. I was very exited and happy when it arrived. I was charged 2,379.00 dollars. It is not a simple price, and it is not simple computer. But I am very regret and disappointed and its functioning."
B07D3CMQ6Q,5,"sleek lil computer, tiny main drive",https://www.amazon.com/gp/customer-reviews/RU8G150ITLVN9/ref=cm_cr_dp_d_rvw_ttl?ie=UTF8&ASIN=B07D3CMQ6Q," February 13, 2020",paul alfaro,Verified Purchase,sleek little fanless computer. runs great as a family room pc that drives the tv. completely content with the purchase.
